Aerospace Studies (AEROSPC),1A,Foundations of the U.S. Air Force,1 Unit,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,1.5 hours of lecture/discussion per week. ,Introductory survey of the U.S. Air Force. Explores evolutionary factors affecting the nature and control of the military. Examines current U.S. defense needs and the Air Force in terms of theory&#44; function&#44; mission&#44; and organization. Major commands are examined individually. Examines the history and structure of the U.S. Air Force&#44; the Air Force's capabilities&#44; career opportunities&#44; benefits&#44; Air Force installations&#44; and communications skills. Additionally&#44; AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies&#44; health and physical fitness&#44; and drills and ceremonies.
Aerospace Studies (AEROSPC),1B,Foundations of the U.S. Air Force,1 Unit,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,1.5 hours of lecture/discussion per week. ,A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include Air Force core values&#44; leadership&#44; team building&#44; diversity&#44; and communication skills. Additionally&#44; AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies&#44; health and physical fitness&#44; and drills and ceremonies.
Aerospace Studies (AEROSPC),2A,The Evolution of U.S. Air Force Air and Space Power,1 Unit,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,1 hour of Lecture per week for 15 weeks. ,This course is designed to examine the general aspects of air and space power through a historical perspective. Utilizing this perspective&#44; the course covers a time period from the first balloons and dirigibles to the space-age global positioning systems of the Persian Gulf War. Historical examples are provided to extrapolate the development of Air Force capabilities (competencies) and missions (functions) to demonstrate the evolution of what has become today's air and space power.
Aerospace Studies (AEROSPC),2B,The Evolution of U.S. Air Force Air and Space Power,1 Unit,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,1 hour of Lecture per week for 15 weeks. ,This course is designed to examine the general aspects of air and space power through a historical perspective. It examines several fundamental truths associated with war in the third dimension; e.g.&#44; principles of war and tenets of air and space power. As a whole&#44; this course provides students with a knowledge level understanding for the element and employment of air and space power&#44; from an institutional&#44; doctrinal&#44; and historical perspective.
Aerospace Studies (AEROSPC),100,Leadership Laboratory,0 Units,Aerospace Studies,Undergraduate,Fall and spring,Offered for pass/not pass grade only. ,2 hours of Laboratory per week for 15 weeks. ,Consent of instructor.
Aerospace Studies (AEROSPC),135A,Air Force Leadership Studies,3 Units,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,3 hours of lecture/discussion per week. ,135A is a prerequisite to 135B or consent of instructor.
Aerospace Studies (AEROSPC),135B,Air Force Leadership Studies,3 Units,Aerospace Studies,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,3 hours of lecture/discussion per week. ,135A or consent of instructor.
Agricultural and Environ Chemistry (AGR CHM),AGR CHM 299,Research in Agricultural and Environmental Chemistry,1 - 12 Units,Agricultural and Environ Chemistry,Graduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,Approximately 4 hours of research per week per unit. ,Graduate standing and consent of instructor.
Catalan (CATALAN),101,Catalan for Advanced Students,3 Units,Catalan,Undergraduate,Fall and spring,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture per week for 15 weeks. ,Credit for 16-20 units or equivalent of another Romance language&#44; or consent of instructor.
Celtic Studies (CELTIC),R1A,Voices of the Celtic World,4 Units,Celtic Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,3 hours of Lecture per week for 15 weeks.  10 hours of Lecture per week for 6 weeks. ,UC Entry Level Writing Requirement or equivalent; R1A or equivalent is prerequisite to R1B.
Chicano Studies (CHICANO),1AX,Reading and Composition,3 Units,Chicano Studies,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,6 hours of Lecture per week for 6 weeks. ,To acquaint Summer Bridge students with methods of expository discourse through the reading of Chicano literature. An introduction to writing&#44; begining with sentence structure&#44; with an emphasis on unity&#44; coherence&#44; and overall organizational of a full composition.
Celtic Studies (CELTIC),R1B,Voices of the Celtic World,4 Units,Celtic Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. This is part one of a year long series course. A provisional grade of IP (in progress) will be applied and later replaced with the final grade after completing part two of the series.,3 hours of Lecture per week for 15 weeks.  10 hours of Lecture per week for 6 weeks. ,R1A or equivalent.
Chicano Studies (CHICANO),R1A,Reading and Composition,4 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  6 hours of Lecture and  2 hours of Discussion per week for 8 weeks.  7.5 hours of Lecture and  2.5 hours of Discussion per week for 6 weeks. ,Satisfaction of the University of California Entry Level Writing Requirement.
Chicano Studies (CHICANO),R1AN,Reading and Composition,3 Units,Chicano Studies,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,5.5 hours of Lecture per week for 8 weeks.  7.5 hours of Lecture per week for 6 weeks. ,Course will acquaint students with methods of expository discourse through the reading of Chicano literature. An introduction to writing&#44; beginning with sentence structure&#44; with an emphasis on unity&#44; coherence&#44; and overall organization of a full composition. Satisfies the first half of the Reading and Composition requirement.
Chicano Studies (CHICANO),R1B,Reading and Composition,4 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture and  1 hour of Discussion per week for 15 weeks.  7.5 hours of Lecture and  2.5 hours of Discussion per week for 6 weeks. ,Satisfaction of the University of California Entry Level Writing Requirement and the first half of the Reading and Composition requirement.
Celtic Studies (CELTIC),10,Intensive Modern Irish,8 Units,Celtic Studies,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,15 hours of Lecture and  5 hours of Laboratory per week for 8 weeks. ,The course provides the equivalent of two semesters of Irish (Gaelic). It emphasizes communication on everyday topics and the reading of 20th-century texts in Irish. Instruction includes grammar&#44; drills&#44; language laboratory.
Chicano Studies (CHICANO),5,Intensive Elementary Spanish Language and Latin American Culture,5 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,20 hours of lecture per week for 4 weeks. ,Spanish 1 or two years of high school Spanish.
Chicano Studies (CHICANO),10,Intensive Intermediate Spanish Language and Mexican Culture,5 Units,Chicano Studies,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,19 hours of lecture per week for 4 weeks. ,6B or three semesters of Spanish or consent of instructor. 6B or three semesters of spanish or consent of instructor.
Chicano Studies (CHICANO),20,Introduction to Chicano Culture,4 Units,Chicano Studies,Undergraduate,Fall&#44; spring and summer,Letter grade. Qualified students may select to take this course pass/not pass. ,3 hours of Lecture per week for 15 weeks.  6 hours of Lecture per week for 8 weeks.  7.5 hours of Lecture per week for 6 weeks. ,An introduction to the cultural life of Chicanos with its regional differences. Key themes are the symbols and cultural norms created by the historical interaction between Chicanos and American society as expressed in literature&#44; art&#44; music&#44; and folklore. Attention will also be given to change and continuity in Chicano cultural norms on the basis of historical events.
City and Regional Planning (CY PLAN),CY PLAN 97,Field Studies in City and Regional Planning,1 - 3 Units,City and Regional Planning,Undergraduate,Fall and spring,Offered for pass/not pass grade only. ,3 hours of field work per week per unit. ,Supervised experiences in the study of off-campus organizations relevant to specific aspects of city planning. Regular individual meetings with faculty sponsor and written report required.
Chinese (CHINESE),1,Intensive Elementary Modern Chinese-Intensive,10 Units,Chinese,Undergraduate,Summer,Letter grade. Qualified students may select to take this course pass/not pass. ,15 hours of Lecture and  5 hours of Laboratory per week for 10 weeks.  19 hours of Lecture and  6 hours of Laboratory per week for 8 weeks. ,This course is the equivalent of 1A-1B offered in the regular academic year.
